iter	MAE
0	5.660357881
1	5.645873914
2	5.631178292
3	5.616720382
4	5.602252456
5	5.587979871
6	5.573809634
7	5.559689743
8	5.545527539
9	5.53145282
10	5.517512917
11	5.50376521
12	5.489952224
13	5.476195405
14	5.462525745
15	5.449071584
16	5.43564484
17	5.422265898
18	5.4090605
19	5.395878719
20	5.382559307
21	5.369249477
22	5.356042175
23	5.34293994
24	5.329971019
25	5.317019689
26	5.304159642
27	5.291496312
28	5.278808357
29	5.26617666
30	5.253720483
31	5.24123311
32	5.228832659
33	5.216441858
34	5.204210849
35	5.192187493
36	5.180333194
37	5.168342639
38	5.156710214
39	5.14486478
40	5.133004782
41	5.12117209
42	5.109434498
43	5.097745951
44	5.086245964
45	5.074692698
46	5.063425901
47	5.052066577
48	5.040743673
49	5.029356238
50	5.018198066
51	5.006895925
52	4.995933301
53	4.984918192
54	4.974002613
55	4.963336933
56	4.952375456
57	4.941587531
58	4.930888593
59	4.920235424
60	4.909381157
61	4.898606232
62	4.888029528
63	4.877523324
64	4.867068687
65	4.856612928
66	4.846149112
67	4.835885567
68	4.825697666
69	4.815384712
70	4.804997981
71	4.794722483
72	4.784627394
73	4.774513899
74	4.764417111
75	4.754372523
76	4.744775962
77	4.734742515
78	4.724926996
79	4.715303849
80	4.705528088
81	4.695876622
82	4.686269296
83	4.676516613
84	4.666737771
85	4.657199838
86	4.647693327
87	4.63830561
88	4.628753716
89	4.61926587
90	4.609822888
91	4.600476146
92	4.591047955
93	4.581841139
94	4.572599478
95	4.563170755
96	4.553930971
97	4.544568112
98	4.535262236
99	4.526168914
100	4.517079622
101	4.507787686
102	4.498729826
103	4.489761442
104	4.480721993
105	4.471688143
106	4.462662811
107	4.453690803
108	4.444949264
109	4.436045348
110	4.427141303
111	4.418286062
112	4.409392254
113	4.400707243
114	4.391921267
115	4.383241601
116	4.374522276
117	4.365850688
118	4.357127939
119	4.348253495
120	4.339557512
121	4.331111859
122	4.322708721
123	4.31421715
124	4.305590115
125	4.297204574
126	4.288834067
127	4.280491285
128	4.272332814
129	4.263893501
130	4.255577634
131	4.246997158
132	4.238617084
133	4.230446218
134	4.222260348
135	4.214355439
136	4.20605159
137	4.197719035
138	4.189574971
139	4.181531708
140	4.17336144
141	4.165237631
142	4.157122728
143	4.149114159
144	4.140828381
145	4.132669032
146	4.124631786
147	4.11647326
148	4.108337591
149	4.100344875
150	4.092232794
151	4.084147004
152	4.076366995
153	4.068439478
154	4.060486018
155	4.052531611
156	4.044831864
157	4.036931294
158	4.02913179
159	4.021073545
160	4.013584603
161	4.006051865
162	3.998105346
163	3.99022816
164	3.982376535
165	3.974710794
166	3.966934013
167	3.959150866
168	3.951384041
169	3.943617379
170	3.935896081
171	3.928356807
172	3.920656199
173	3.913154678
174	3.905457693
175	3.898029023
176	3.890406945
177	3.882776983
178	3.875123628
179	3.867646827
180	3.860092548
181	3.852565279
182	3.845001524
183	3.837440485
184	3.830115657
185	3.822670389
186	3.815611842
187	3.80829496
188	3.801039756
189	3.793574236
190	3.786061659
191	3.77853185
192	3.771376908
193	3.763979314
194	3.756544315
195	3.749082031
196	3.741685795
197	3.734315376
198	3.726934043
199	3.719841455
200	3.712614903
201	3.705429933
202	3.698359441
203	3.691119421
204	3.684029879
205	3.676994046
206	3.670195615
207	3.663099962
208	3.656149788
209	3.648927354
210	3.64154901
211	3.634527148
212	3.627404267
213	3.620645498
214	3.613629062
215	3.606658217
216	3.599782894
217	3.592796869
218	3.585786531
219	3.578837767
220	3.571740825
221	3.564850072
222	3.557861718
223	3.550908059
224	3.543997564
225	3.537126635
226	3.530143165
227	3.523288564
228	3.51641894
229	3.509901131
230	3.503012697
231	3.496144082
232	3.489245428
233	3.482367515
234	3.475580674
235	3.468744557
236	3.461940736
237	3.455067245
238	3.448373739
239	3.44178692
240	3.435198711
241	3.42844271
242	3.421629742
243	3.414993143
244	3.408292347
245	3.40173975
246	3.395144321
247	3.388606961
248	3.381890802
249	3.375512209
250	3.368994046
251	3.362339749
252	3.355872682
253	3.34940766
254	3.342690654
255	3.336153609
256	3.329682335
257	3.32333184
258	3.316749706
